,peripheral@RGI,all@BedMachine,all@Greene_2022,all@IMBIE_Rignot,all@NSIDC_0709,all@harper_2023,main@BedMachine,main@Greene_2022,main@IMBIE_Rignot,main@NSIDC_0709,main@harper_2023,peripheral@BedMachine,peripheral@Greene_2022,peripheral@IMBIE_Rignot,peripheral@NSIDC_0709,peripheral@harper_2023,shelf@BedMachine,shelf@NSIDC_0709
peripheral@RGI,129535.0,121134.0,123963.0,102432.0,105495.0,128340.0,1402.0,103647.0,1572.0,1570.0,1218.0,114718.0,20316.0,100860.0,100865.0,127122.0,5014.0,3060.0
all@BedMachine,121134.0,13522845.0,13510402.0,12006458.0,13503359.0,12046261.0,11807920.0,13491431.0,11823873.0,11823531.0,11841294.0,197543.0,18971.0,182585.0,182708.0,204967.0,1517382.0,1497120.0
all@Greene_2022,123963.0,13510402.0,13644778.0,12077221.0,13580448.0,12121057.0,11807903.0,13622240.0,11890588.0,11890080.0,11909558.0,196645.0,22538.0,186633.0,186730.0,211499.0,1505854.0,1503638.0
all@IMBIE_Rignot,102432.0,12006458.0,12077221.0,12079256.0,12078370.0,12056182.0,11804130.0,12075418.0,11892121.0,11889268.0,11874957.0,178776.0,1803.0,187135.0,186372.0,181225.0,23552.0,2730.0
all@NSIDC_0709,105495.0,13503359.0,13580448.0,12078370.0,13605794.0,12099643.0,11807723.0,13578639.0,11891390.0,11891387.0,11908413.0,180159.0,1809.0,186980.0,187256.0,191230.0,1515477.0,1527151.0
all@harper_2023,128340.0,12046261.0,12121057.0,12056182.0,12099643.0,12133125.0,11793122.0,12098870.0,11872721.0,11872287.0,11912288.0,195222.0,22187.0,183461.0,183419.0,220837.0,57917.0,43937.0
main@BedMachine,1402.0,11807920.0,11807903.0,11804130.0,11807723.0,11793122.0,11807920.0,11807903.0,11804120.0,11805177.0,11792177.0,0.0,0.0,10.0,0.0,945.0,0.0,2546.0
main@Greene_2022,103647.0,13491431.0,13622240.0,12075418.0,13578639.0,12098870.0,11807903.0,13622240.0,11890586.0,11890076.0,11909523.0,178441.0,0.0,184832.0,184926.0,189347.0,1505087.0,1503637.0
main@IMBIE_Rignot,1572.0,11823873.0,11890588.0,11892121.0,11891390.0,11872721.0,11804120.0,11890586.0,11892121.0,11889253.0,11871581.0,2943.0,2.0,0.0,1.0,1140.0,16810.0,2136.0
main@NSIDC_0709,1570.0,11823531.0,11890080.0,11889268.0,11891387.0,11872287.0,11805177.0,11890076.0,11889253.0,11891387.0,11871147.0,2995.0,4.0,15.0,0.0,1140.0,15359.0,0.0
main@harper_2023,1218.0,11841294.0,11909558.0,11874957.0,11908413.0,11912288.0,11792177.0,11909523.0,11871581.0,11871147.0,11912288.0,6046.0,35.0,3376.0,3345.0,0.0,43071.0,33921.0
peripheral@BedMachine,114718.0,197543.0,196645.0,178776.0,180159.0,195222.0,0.0,178441.0,2943.0,2995.0,6046.0,197543.0,18204.0,175833.0,176226.0,189176.0,0.0,938.0
peripheral@Greene_2022,20316.0,18971.0,22538.0,1803.0,1809.0,22187.0,0.0,0.0,2.0,4.0,35.0,18204.0,22538.0,1801.0,1804.0,22152.0,767.0,1.0
peripheral@IMBIE_Rignot,100860.0,182585.0,186633.0,187135.0,186980.0,183461.0,10.0,184832.0,0.0,15.0,3376.0,175833.0,1801.0,187135.0,186371.0,180085.0,6742.0,594.0
peripheral@NSIDC_0709,100865.0,182708.0,186730.0,186372.0,187256.0,183419.0,0.0,184926.0,1.0,0.0,3345.0,176226.0,1804.0,186371.0,187256.0,180074.0,6482.0,0.0
peripheral@harper_2023,127122.0,204967.0,211499.0,181225.0,191230.0,220837.0,945.0,189347.0,1140.0,1140.0,0.0,189176.0,22152.0,180085.0,180074.0,220837.0,14846.0,10016.0
shelf@BedMachine,5014.0,1517382.0,1505854.0,23552.0,1515477.0,57917.0,0.0,1505087.0,16810.0,15359.0,43071.0,0.0,767.0,6742.0,6482.0,14846.0,1517382.0,1493636.0
shelf@NSIDC_0709,3060.0,1497120.0,1503638.0,2730.0,1527151.0,43937.0,2546.0,1503637.0,2136.0,0.0,33921.0,938.0,1.0,594.0,0.0,10016.0,1493636.0,1527151.0
